"portfolio","product_id","number","name","printing","set","rarity","finish","condition","qty","paid_usd","market_usd","low_usd","high_usd","price_source","price_as_of","added"
"","587966","OP01-016","Nami","manga","PRB-01","R","Foil","NM","1","","2017.24","1950.0","5000.0","TCGplayer via TCGCSV","",""
"","672822","EB03-024","Nefeltari Vivi","sp","EB03","SR","Foil","NM","1","","463.53","399.99","899.99","TCGplayer via TCGCSV","",""
"","587710","OP03-122","Sogeking","manga","PRB-01","SEC","Foil","NM","1","362.33","584.41","680.0","1669.0","TCGplayer via TCGCSV","",""
"","558162","OP08-118","Silvers Rayleigh","parallel","OP08","SEC","Foil","NM","1","356.1","574.36","490.0","850.0","TCGplayer via TCGCSV","",""
"","685011","OP12-014","Boa Hancock","sp","OP15-EB04","SR","Foil","NM","1","347.76","560.9","454.46","900.0","TCGplayer via TCGCSV","",""
"","695324","OP14-084","Ms. All Sunday","sp","OP16","SR","Foil","NM","1","336.74","543.13","535.98","2000.0","TCGplayer via TCGCSV","",""
"","629180","OP07-019","Jewelry Bonney","sp","EB02","L","Foil","NM","1","332.01","535.5","1500.0","1500.0","TCGplayer via TCGCSV","",""
"","596913","OP05-067","Zoro-Juurou","sp","OP09","R","Foil","NM","1","326.56","526.71","499.71","860.0","TCGplayer via TCGCSV","",""
"","454512","OP01-001","Roronoa Zoro","base","OP01","L","Normal","NM","1","","2.32","1.59","34.99","TCGplayer via TCGCSV","",""
"","453505","OP01-002","Trafalgar Law","base","OP01","L","Normal","NM","1","","2.17","1.29","15.0","TCGplayer via TCGCSV","",""
"","454515","OP01-003","Monkey.D.Luffy","base","OP01","L","Normal","NM","1","5.47","6.84","5.23","75.0","TCGplayer via TCGCSV","",""
"","602793","OP01-005","Uta","base","OP-DD","R","Normal","NM","2","","0.35","0.23","0.5","TCGplayer via TCGCSV","",""
"","454518","OP01-006","Otama","base","OP01","UC","Normal","LP","1","","0.32","0.19","9.0","TCGplayer via TCGCSV","",""
"","454519","OP01-007","Caribou","base","OP01","C","Normal","NM","4","","0.11","0.01","3.0","TCGplayer via TCGCSV","",""
"","454520","OP01-008","Cavendish","base","OP01","C","Normal","NM","1","","0.11","0.02","3.0","TCGplayer via TCGCSV","",""
"","454525","OP01-010","Komachiyo","base","OP01","C","Normal","NM","2","","0.09","0.01","3.0","TCGplayer via TCGCSV","",""
"","454526","OP01-011","Gordon","base","OP01","UC","Normal","MP","1","","0.1","0.05","15.0","TCGplayer via TCGCSV","",""
"","454527","OP01-012","Sai","base","OP01","C","Normal","LP","1","","0.09","0.01","3.0","TCGplayer via TCGCSV","",""
"","602795","OP01-013","Sanji","base","OP-DD","R","Normal","NM","1","","0.51","0.15","10.0","TCGplayer via TCGCSV","",""
"","454532","OP01-014","Jinbe","base","OP01","UC","Normal","NM","4","","0.16","0.05","3.0","TCGplayer via TCGCSV","",""
"","656656","OP01-016","Nami","base","LT-01","R","Normal","NM","1","","0.5","0.34","4.0","TCGplayer via TCGCSV","",""
"","454538","OP01-017","Nico Robin","base","OP01","R","Foil","NM","1","","0.46","0.25","9.99","TCGplayer via TCGCSV","",""
"","454540","OP01-018","Hajrudin","base","OP01","C","Normal","LP","1","","0.09","0.01","3.0","TCGplayer via TCGCSV","",""
"","454542","OP01-019","Bartolomeo","base","OP01","C","Normal","NM","1","","0.13","0.04","3.0","TCGplayer via TCGCSV","",""
"","454543","OP01-020","Hyogoro","base","OP01","C","Normal","NM","2","","0.11","0.01","3.0","TCGplayer via TCGCSV","",""
"","454544","OP01-021","Franky","base","OP01","UC","Normal","NM","4","","0.19","0.01","3.0","TCGplayer via TCGCSV","",""
"","454546","OP01-023","Marco","base","OP01","C","Normal","NM","1","","0.11","0.01","3.0","TCGplayer via TCGCSV","",""
"","453508","OP01-024","Monkey.D.Luffy","base","OP01","SR","Foil","LP","1","1.74","2.18","1.5","60.0","TCGplayer via TCGCSV","",""
"","527620","OP01-025","Roronoa Zoro","base","OP-PR","SR","Foil","NM","2","","1.28","1.0","50.0","TCGplayer via TCGCSV","",""
"","454547","OP01-026","Gum-Gum Fire-Fist Pistol Red Hawk","base","OP01","R","Foil","NM","1","","0.73","0.43","10.0","TCGplayer via TCGCSV","",""
